feature,position
bvp_BVP_perm_entropy,1
acc_y_perm_entropy,2
acc_l2_ptp,3
acc_l2_max,4
acc_z_peaks,5
eda_l2_lineintegral,6
acc_l2_peaks,7
acc_z_perm_entropy,8
acc_y_lineintegral,9
eda_EDA_lineintegral,10
temp_TEMP_min,11
temp_l2_min,12
acc_z_rms,13
acc_z_min,14
acc_z_energy,15
acc_z_pct_95,16
acc_z_mean,17
bvp_l2_iqr,18
acc_l2_rms,19
eda_l2_iqr_5_95,20
acc_y_peaks,21
bvp_BVP_n_sign_changes,22
eda_EDA_iqr_5_95,23
temp_TEMP_energy,24
temp_l2_energy,25
acc_l2_min,26
temp_TEMP_sum,27
bvp_l2_peaks,28
eda_l2_min,29
eda_EDA_max,30
