feature,all_nan,na_count,na_frac,unique_count,var,most_freq_ratio,is_constant,is_near_constant,good_na
ACC.L2__ACC.L2_energy,False,0,0.0,70738,61821596440.9719,0.00011940773762139787,False,False,True
ACC.L2__ACC.L2_entropy,False,0,0.0,13761,1.030919016663263e-05,0.005890781722655628,False,False,True
ACC.L2__ACC.L2_iqr,False,0,0.0,25540,1.1076107477178259,0.04050575810645863,False,False,True
ACC.L2__ACC.L2_iqr_5_95,False,0,0.0,34041,54.18253342866704,0.0047895770312582926,False,False,True
ACC.L2__ACC.L2_kurtosis,False,0,0.0,75198,3796.0759799826083,9.287268481664278e-05,False,False,True
ACC.L2__ACC.L2_lineintegral,False,0,0.0,75000,4115397.32788821,0.00011940773762139787,False,False,True
ACC.L2__ACC.L2_max,False,0,0.0,2739,958.2011620299535,0.011051849493180492,False,False,True
ACC.L2__ACC.L2_mean,False,0,0.0,69076,0.8086718361520038,0.00011940773762139787,False,False,True
ACC.L2__ACC.L2_min,False,0,0.0,1947,181.0142790040121,0.007894178209414637,False,False,True
ACC.L2__ACC.L2_n_above_mean,False,0,0.0,1826,69849.70012782505,0.0022687470148065594,False,False,True
ACC.L2__ACC.L2_n_below_mean,False,0,0.0,1826,69856.3169976918,0.0022687470148065594,False,False,True
ACC.L2__ACC.L2_pct_5,False,0,0.0,8256,9.050372442258508,0.011635620654885104,False,False,True
ACC.L2__ACC.L2_pct_95,False,0,0.0,10607,21.069703731545992,0.008411611739107362,False,False,True
ACC.L2__ACC.L2_peaks,False,0,0.0,519,10071.064768622915,0.004603831661625007,False,False,True
ACC.L2__ACC.L2_perm_entropy,False,0,0.0,938,0.015917598945243666,0.0026535052804755083,False,False,True
ACC.L2__ACC.L2_ptp,False,0,0.0,5638,1837.9021778012345,0.003582232128641936,False,False,True
ACC.L2__ACC.L2_rms,False,0,0.0,70038,1.0071966540598667,0.00011940773762139787,False,False,True
ACC.L2__ACC.L2_skewness,False,0,0.0,75247,7.423520434418999,7.960515841426525e-05,False,False,True
ACC.L2__ACC.L2_std,False,0,0.0,75115,6.989746425700509,9.287268481664278e-05,False,False,True
ACC.L2__ACC.L2_sum,False,0,0.0,69572,2981087.8316071816,0.00011940773762139787,False,False,True
ACC.L2__ACC.L2_svd_entropy,False,0,0.0,75296,0.01317455554626545,7.960515841426525e-05,False,False,True
ACC.X__ACC.X_energy,False,0,0.0,72103,4262844184086.6514,0.0008623892161545401,False,False,True
ACC.X__ACC.X_entropy,False,0,0.0,22899,,0.39265244387836334,False,False,True
ACC.X__ACC.X_iqr,False,0,0.0,157,116.76985542424957,0.17425569176882663,False,False,True
ACC.X__ACC.X_iqr_5_95,False,0,0.0,424,433.83320983953655,0.09372180650639494,False,False,True
ACC.X__ACC.X_lineintegral,False,0,0.0,9282,5010925.689391983,0.0016584408002971926,False,False,True
ACC.X__ACC.X_max,False,0,0.0,191,2412.609440147732,0.05803216048399936,False,False,True
ACC.X__ACC.X_mean,False,0,0.0,58194,1770.7539400154449,0.0008756567425569177,False,False,True
ACC.X__ACC.X_min,False,0,0.0,191,2719.765139300092,0.03319535105874861,False,False,True
ACC.X__ACC.X_n_above_mean,False,0,0.0,1920,173846.38814210574,0.0016584408002971926,False,False,True
ACC.X__ACC.X_n_below_mean,False,0,0.0,1920,173840.30352567945,0.0016584408002971926,False,False,True
ACC.X__ACC.X_n_sign_changes,False,0,0.0,195,342.3005113492884,0.5996523908082577,False,False,True
ACC.X__ACC.X_pct_5,False,0,0.0,298,1837.0374702904173,0.027278034283288222,False,False,True
ACC.X__ACC.X_pct_95,False,0,0.0,305,1763.2738444595143,0.054357055670540784,False,False,True
ACC.X__ACC.X_peaks,False,0,0.0,533,11154.30581211317,0.004537494029613119,False,False,True
ACC.X__ACC.X_perm_entropy,False,0,0.0,947,0.0448856833562153,0.0023616196996232024,False,False,True
ACC.X__ACC.X_ptp,False,0,0.0,222,3077.946236227828,0.041301809690601286,False,False,True
ACC.X__ACC.X_rms,False,0,0.0,72099,171.72080479914453,0.0008623892161545401,False,False,True
ACC.X__ACC.X_std,False,0,0.0,71361,47.97134466161659,0.0016584408002971926,False,False,True
ACC.X__ACC.X_sum,False,0,0.0,58194,6527707323.818175,0.0008756567425569177,False,False,True
ACC.X__ACC.X_svd_entropy,False,0,0.0,74296,0.028578595753374195,0.0008623892161545401,False,False,True
ACC.Y__ACC.Y_energy,False,0,0.0,71245,3270383624951.6,0.002228944435599427,False,False,True
ACC.Y__ACC.Y_entropy,False,0,0.0,18563,,0.5578596826407685,False,False,True
ACC.Y__ACC.Y_iqr,False,0,0.0,252,271.9423410995492,0.23131932282545242,False,False,True
ACC.Y__ACC.Y_iqr_5_95,False,0,0.0,616,812.331021489327,0.12885421641989067,False,False,True
ACC.Y__ACC.Y_lineintegral,False,0,0.0,5507,1308268.541640731,0.005373348192962904,False,False,True
ACC.Y__ACC.Y_max,False,0,0.0,181,1308.811463869593,0.020087034973199597,False,False,True
ACC.Y__ACC.Y_mean,False,0,0.0,57989,632.3283818096771,0.002242211962001804,False,False,True
ACC.Y__ACC.Y_min,False,0,0.0,183,1254.6041450512237,0.018866422544180864,False,False,True
ACC.Y__ACC.Y_n_above_mean,False,0,0.0,1920,209011.90115523775,0.005373348192962904,False,False,True
ACC.Y__ACC.Y_n_below_mean,False,0,0.0,1920,209381.6521515427,0.005373348192962904,False,False,True
ACC.Y__ACC.Y_n_sign_changes,False,0,0.0,701,5660.526625918603,0.4138141484901555,False,False,True
ACC.Y__ACC.Y_pct_5,False,0,0.0,338,785.1918508871152,0.02259459746324895,False,False,True
ACC.Y__ACC.Y_pct_95,False,0,0.0,344,811.7139386838403,0.0304224380406517,False,False,True
ACC.Y__ACC.Y_peaks,False,0,0.0,474,6577.704682421881,0.0059703868810698935,False,False,True
ACC.Y__ACC.Y_perm_entropy,False,0,0.0,919,0.046116105779415606,0.005466220877779547,False,False,True
ACC.Y__ACC.Y_ptp,False,0,0.0,222,2606.4793621185318,0.042442816961205755,False,False,True
ACC.Y__ACC.Y_rms,False,0,0.0,71245,254.47549884496024,0.002228944435599427,False,False,True
ACC.Y__ACC.Y_std,False,0,0.0,71219,92.86000889851834,0.005373348192962904,False,False,True
ACC.Y__ACC.Y_sum,False,0,0.0,57989,2331015347.5905795,0.002242211962001804,False,False,True
ACC.Y__ACC.Y_svd_entropy,False,0,0.0,74093,0.045726112088615115,0.0026137027012683757,False,False,True
ACC.Z__ACC.Z_energy,False,0,0.0,72639,3924318532339.3784,0.0006899113729236322,False,False,True
ACC.Z__ACC.Z_entropy,False,0,0.0,13436,,0.6413654938173327,False,False,True
ACC.Z__ACC.Z_iqr,False,0,0.0,222,267.49950349443884,0.1685373878894019,False,False,True
ACC.Z__ACC.Z_iqr_5_95,False,0,0.0,524,773.9863200039078,0.09153266465000265,False,False,True
ACC.Z__ACC.Z_lineintegral,False,0,0.0,8210,3562205.042954551,0.0011940773762139786,False,False,True
ACC.Z__ACC.Z_max,False,0,0.0,185,1374.058977889453,0.04505651966247413,False,False,True
ACC.Z__ACC.Z_mean,False,0,0.0,59193,652.1190168643419,0.0007031788993260097,False,False,True
ACC.Z__ACC.Z_min,False,0,0.0,180,1377.6467968442237,0.016199649737302976,False,False,True
ACC.Z__ACC.Z_n_above_mean,False,0,0.0,1920,164844.3048162564,0.00161863822109006,False,False,True
ACC.Z__ACC.Z_n_below_mean,False,0,0.0,1919,164651.24260852378,0.00161863822109006,False,False,True
ACC.Z__ACC.Z_n_sign_changes,False,0,0.0,486,2875.2721196849016,0.3500238815475243,False,False,True
ACC.Z__ACC.Z_pct_5,False,0,0.0,302,829.1792601640118,0.01883988749137611,False,False,True
ACC.Z__ACC.Z_pct_95,False,0,0.0,285,695.9641073533838,0.034747651647826776,False,False,True
ACC.Z__ACC.Z_peaks,False,0,0.0,508,8989.449069690701,0.004829379610465425,False,False,True
ACC.Z__ACC.Z_perm_entropy,False,0,0.0,941,0.04371879301279046,0.0022952820676113146,False,False,True
ACC.Z__ACC.Z_ptp,False,0,0.0,242,3347.8437233694526,0.04769675741654726,False,False,True
ACC.Z__ACC.Z_rms,False,0,0.0,72639,246.6239835080558,0.0006899113729236322,False,False,True
ACC.Z__ACC.Z_std,False,0,0.0,71771,88.03871539456229,0.0006633763201188771,False,False,True
ACC.Z__ACC.Z_sum,False,0,0.0,59193,2403971544.237108,0.0007031788993260097,False,False,True
ACC.Z__ACC.Z_svd_entropy,False,0,0.0,74523,0.04172407349966783,0.0003449556864618161,False,False,True
BVP.stat__BVP.stat_energy,False,0,0.0,75327,805628383070575.9,2.653505280475508e-05,False,False,True
BVP.stat__BVP.stat_iqr,False,0,0.0,53968,1139.7052541564144,0.0001990128960356631,False,False,True
BVP.stat__BVP.stat_iqr_5_95,False,0,0.0,50781,16833.053207359077,0.0005307010560951016,False,False,True
BVP.stat__BVP.stat_kurtosis,False,0,0.0,75283,161.29344277373832,2.653505280475508e-05,False,False,True
BVP.stat__BVP.stat_lineintegral,False,0,0.0,74819,205970951.62385356,3.9802579207132624e-05,False,False,True
BVP.stat__BVP.stat_max,False,0,0.0,3552,55463.821341294926,0.0018176511171257232,False,False,True
BVP.stat__BVP.stat_mean,False,0,0.0,74983,0.18707634042332746,5.307010560951016e-05,False,False,True
BVP.stat__BVP.stat_min,False,0,0.0,3531,73042.2758162571,0.0019901289603566313,False,False,True
BVP.stat__BVP.stat_n_above_mean,False,0,0.0,742,10627.114535347335,0.00415273576394417,False,False,True
BVP.stat__BVP.stat_n_below_mean,False,0,0.0,742,10627.108497368981,0.00415273576394417,False,False,True
BVP.stat__BVP.stat_n_sign_changes,False,0,0.0,197,592.7054540713357,0.02113516955898742,False,False,True
BVP.stat__BVP.stat_pct_5,False,0,0.0,35384,4510.571796926266,0.0005837711617046118,False,False,True
BVP.stat__BVP.stat_pct_95,False,0,0.0,32161,3998.453156657282,0.0007031788993260097,False,False,True
BVP.stat__BVP.stat_peaks,False,0,0.0,217,767.0449565812436,0.021068831926975534,False,False,True
BVP.stat__BVP.stat_perm_entropy,False,0,0.0,893,0.0007627791801797741,0.0023483521732208246,False,False,True
BVP.stat__BVP.stat_ptp,False,0,0.0,5913,237442.74762805362,0.0009950644801783157,False,False,True
BVP.stat__BVP.stat_rms,False,0,0.0,75275,1616.8846000841725,2.653505280475508e-05,False,False,True
BVP.stat__BVP.stat_skewness,False,0,0.0,75322,1.0326603989214702,2.653505280475508e-05,False,False,True
BVP.stat__BVP.stat_std,False,0,0.0,75269,1616.8302842548012,3.9802579207132624e-05,False,False,True
BVP.stat__BVP.stat_sum,False,0,0.0,74993,2758552.8858019686,5.307010560951016e-05,False,False,True
BVP.stat__BVP.stat_svd_entropy,False,0,0.0,75372,0.002593834296128564,1.326752640237754e-05,False,False,True
EDA.phasic__EDA.phasic_energy,False,0,0.0,75348,87543.38839048622,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_entropy,False,0,0.0,25373,,0.6619168922146155,False,False,True
EDA.phasic__EDA.phasic_iqr,False,0,0.0,75371,0.15888758358352373,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_iqr_5_95,False,0,0.0,75372,0.5338935333095248,1.326752640237754e-05,False,False,True
EDA.phasic__EDA.phasic_kurtosis,False,0,0.0,75250,172.0163140422504,3.9802579207132624e-05,False,False,True
EDA.phasic__EDA.phasic_lineintegral,False,0,0.0,75339,9.79743098546538,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_max,False,0,0.0,75347,0.7283070588054176,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_mean,False,0,0.0,75339,0.12366034620970642,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_min,False,0,0.0,49875,0.0013625067358343987,0.3380831077853845,False,False,True
EDA.phasic__EDA.phasic_n_above_mean,False,0,0.0,233,1604.3852176015787,0.016955898742238497,False,False,True
EDA.phasic__EDA.phasic_n_below_mean,False,0,0.0,233,1604.3852176015787,0.016955898742238497,False,False,True
EDA.phasic__EDA.phasic_n_sign_changes,False,0,0.0,3,0.5609123501452854,0.42819614711033277,False,False,True
EDA.phasic__EDA.phasic_pct_5,False,0,0.0,74413,0.004325872467999421,0.012604150082258663,False,False,True
EDA.phasic__EDA.phasic_pct_95,False,0,0.0,75337,0.5899704107740815,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_peaks,False,0,0.0,6,0.1920750774331933,0.9090909090909091,False,False,True
EDA.phasic__EDA.phasic_perm_entropy,False,0,0.0,107,0.015230846668522506,0.014050310460117815,False,False,True
EDA.phasic__EDA.phasic_ptp,False,0,0.0,75347,0.7466571869285332,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_rms,False,0,0.0,75331,0.1837246567517264,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_skewness,False,0,0.0,75277,3.8692827665510974,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_std,False,0,0.0,75341,0.0609146698722989,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_sum,False,0,0.0,75339,7122.835952524451,2.653505280475508e-05,False,False,True
EDA.phasic__EDA.phasic_svd_entropy,False,0,0.0,75372,0.021467927978502735,1.326752640237754e-05,False,False,True
EDA.phasic_scr_count,False,0,0.0,48,26.576888929693414,0.09994427638911002,False,False,True
EDA.phasic_scr_mean_amp,False,0,0.0,75339,0.20140139523266964,2.653505280475508e-05,False,False,True
EDA.phasic_scr_median_amp,False,0,0.0,75352,0.21541188906222522,2.653505280475508e-05,False,False,True
EDA.phasic_scr_rate,False,0,0.0,48,0.0073824691471370595,0.09994427638911002,False,False,True
EDA.phasic_scr_sum_amp,False,0,0.0,75352,98.54915858701506,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_energy,False,0,0.0,75326,23977213.486715537,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_entropy,False,0,0.0,16529,,0.01915830812503317,False,False,True
EDA.tonic__EDA.tonic_iqr,False,0,0.0,75092,0.17891396524830894,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_iqr_5_95,False,0,0.0,75362,0.5675644038061726,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_kurtosis,False,0,0.0,75165,1.8619788123501673,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_lineintegral,False,0,0.0,75103,2.3624643326778467,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_max,False,0,0.0,75297,6.184913154015819,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_mean,False,0,0.0,75275,4.9628036345319115,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_min,False,0,0.0,75305,4.0156882000071095,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_n_above_mean,False,0,0.0,181,690.480731795242,0.019927824656371065,False,False,True
EDA.tonic__EDA.tonic_n_below_mean,False,0,0.0,181,690.4693403249206,0.019941092182773443,False,False,True
EDA.tonic__EDA.tonic_n_sign_changes,False,0,0.0,5,0.07069773334123175,0.9808416918749668,False,False,True
EDA.tonic__EDA.tonic_pct_5,False,0,0.0,75281,4.067501972886897,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_pct_95,False,0,0.0,75266,5.9739349791411875,3.9802579207132624e-05,False,False,True
EDA.tonic__EDA.tonic_peaks,False,0,0.0,3,0.014390478909302668,0.9858833519078702,False,False,True
EDA.tonic__EDA.tonic_perm_entropy,False,0,0.0,119,0.11197471294478724,0.1271161704611792,False,False,True
EDA.tonic__EDA.tonic_ptp,False,0,0.0,74949,0.6966868705176688,3.9802579207132624e-05,False,False,True
EDA.tonic__EDA.tonic_rms,False,0,0.0,75279,4.98832764278554,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_skewness,False,0,0.0,75330,0.6049183845404753,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_std,False,0,0.0,75341,0.06544655348094297,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_sum,False,0,0.0,75279,285857.48900657543,2.653505280475508e-05,False,False,True
EDA.tonic__EDA.tonic_svd_entropy,False,0,0.0,75372,0.0014808943957547618,1.326752640237754e-05,False,False,True
TEMP__TEMP_energy,False,0,0.0,66706,566788942.1723535,0.0002255479488404182,False,False,True
TEMP__TEMP_entropy,False,0,0.0,162,2.245622947914915e-11,0.38335190787029666,False,False,True
TEMP__TEMP_iqr,False,0,0.0,409,0.0036831628998047765,0.27796794565621186,False,False,True
TEMP__TEMP_iqr_5_95,False,0,0.0,710,0.009504037023484277,0.1001300217587433,False,False,True
TEMP__TEMP_kurtosis,False,0,0.0,72456,0.8989120699370884,0.00011940773762139787,False,False,True
TEMP__TEMP_lineintegral,False,0,0.0,2447,0.02205886287167872,0.010985511861168603,False,False,True
TEMP__TEMP_max,False,0,0.0,347,2.3300281562663074,0.012444939765430133,False,False,True
TEMP__TEMP_mean,False,0,0.0,50791,2.329600950201354,0.00023881547524279574,False,False,True
TEMP__TEMP_min,False,0,0.0,345,2.335508275476006,0.010348670593854482,False,False,True
TEMP__TEMP_n_above_mean,False,0,0.0,187,925.4373232814843,0.022355781988006158,False,False,True
TEMP__TEMP_n_below_mean,False,0,0.0,186,925.2827145833025,0.02239558456721329,False,False,True
TEMP__TEMP_pct_5,False,0,0.0,755,2.335154894595489,0.008398344212704984,False,False,True
TEMP__TEMP_pct_95,False,0,0.0,753,2.3294774333685715,0.008769834951971554,False,False,True
TEMP__TEMP_perm_entropy,False,0,0.0,97,0.006708130583335431,0.08678289019795149,False,False,True
TEMP__TEMP_ptp,False,0,0.0,224,0.011159166149194183,0.07769463461232289,False,False,True
TEMP__TEMP_rms,False,0,0.0,63270,2.329578353322957,0.0002255479488404182,False,False,True
